text,tag
герметизац зазор сопряга поверхн перегородк 21 втулк 31 кажд перегородк 21 выполня паз 35 установк уплотнительн элемент 36,0
герметизац зазор сопряга поверхн лопаст научнотехническ вестник государствен 2019 1 nauchnotekhnichesk vestnik bryansk gosudarstven universitet 2019,0
трехзвен гидравлическ кранманипулятор модернизирова шарнирн соединен внешн вид б выносн элемент 1 опорн конструкц 2 поворотн колон 3 стрел 4 шарнирн узел соединен смежн звен 5 рукоя 6 грузозахватн орга 7 элемент креплен 8 силов гидродвигател механизм поворотн движен рукоя 9 силов гидродвигател механизм поворотн движен стрел 10 полезн груз 11 сварн шов 12 цилиндрическ обечайк 13 съемн торцев крышк 14 центральн отверст 15 болт 16 резинов уплотнительн кольц 17 подшипник качен 18 уплотнительн манжет 19 предохранительн кольц 20 винт 21 перегородк 22 фиксатор 23 удержива винт 24 резьбов отверст 25 штуцер 26 подъемн трубопровод 27 опускн трубопровод 28 ротор 29 шлицев паз 30 призматическ шпонк 31 втулк 32 лопаст 33 фиксатор 34 стопорн винт 35 37 паз 36 38 уплотнительн элемент 37 паз 39 хомут 40 отверст шлицев выступ 41 шпильк 42 гайк 32 внутрен поверхн обечайк 12 кажд лопаст 32 выполня паз 37 установк уплотнительн элемент 38,1
например аналог практик герметизац аналогичн поверхн шиберн поворотн гидродвигател машиностроительн гидропривод 4 5 качеств уплотнительн элемент 36 38 моч использова фторопластов пластин шеврон набивк,0
перегородк 21 лопаст 32 разделя внутрен пространств обечайк 12 пар камер 321 uu 321 vvv,0
3 котор чередова себ окружн направлен,0
камер 321 uu подключ подъемн трубопровод 26 камер 321 vvv опускн трубопровод 27,0
конец ротор 28 имет шлицев паз 29 надева хомут 39 стальн листов прокат,0
конец кажд хомут имет отверст 40 шлицев выступ,0
шлицев паз 29 конец ротор 28 шлицев выступ отверст 40 обеспечива разъемн шлицев соединен ротор 28 хомут 39,0
друг конец хомут неподвижн креп противоположн бок поверхн рукоя 5,0
обеспечен сборк шарнирн узел соединен стрел 3 рукоя 5 един кинематическ цеп креплен хомут бок поверхн рукоя выполня разборн например помощ шпильк 41 гайк 42,0
возможн использован дополнительн вариант приводн шарнирн соединен смежн звен кранаманипулятор основ использован четыр пят пар перегородк 21 лопаст 32,0
случа закрепля равн углов расстоян 90о 72о соответствен,0
научнотехническ вестник государствен 2019 1 nauchnotekhnichesk vestnik bryansk gosudarstven universitet 2019,0
2 приводн шарнирн соединен 3 научнотехническ вестник государствен 2019 1 nauchnotekhnichesk vestnik bryansk gosudarstven universitet 2019,0
22281 24139920201905010925 13 образ предлож приводн шарнирн соединен представля себ конструкц котор совмеща 6 1 шарнирн узел соединен един кинематическ цеп смежн звен кранаманипулятор стрел 3 рукоя 5 2 механизм силов гидропривод возвратноповоротн движен рукоя 5 вмест грузозахватн орга 6 полезн груз 10,0
функц шарнирн узел соединен реализова обечайк 12 торцев крышк 13 установлен подшипник качен 17 ротор 28 хомут 39,0
контакт себ перечислен конструктивн элемент обеспечива постоя неразрывн кинематическ связ смежн звен кранаманипулятор стрел рукоя формирова цилиндрическ шарнир позволя рукоя выполня возвратноповоротн движен относительн стрел вертикальн плоскост,0
функц механизм силов гидропривод возвратноповоротн движен рукоя реализова обечайк 12 закреп помощ штуцер 25 подъемн 26 опускн 27 трубопровод торцев крышк 13 перегородк 21 лопаст 32 ротор 28 закреп нем втулк 31 подшипник качен 17 уплотнительн устройств различн исполнен уплотнительн кольц 16 уплотнительн манжет 18 уплотнительн элемент 36 38,0
схем поясня принцип работ приводн шарнирн соединен привест,0
подключен подъемн трубопровод 26 напорн гидролин силов гидропривод кранаманипулятор рабоч жидкост высок давлен 1p штуцер 25 резьбов отверст 24 поступа камер 321 uu,0
одновремен эт опускн трубопровод 27 подключа сливн гидролин силов гидропривод кранаманипулятор наход камер 321 vvv рабоч жидкост низк давлен 2p удаля,0
результат разниц давлен 21ppp рабоч жидкост наход смежн камер разделя лопаст 32,0
камер 11vu 22vu 33vu лопаст 32 сторон камер 321 uu начина действова сил разниц давлен parrr 321 площад бок поверхн лопаст котор создава суммарн крут момент ротор 28 pahhrhrhrm кр 3321 относительн продольн ротор точк,0
расчетн схем действ шарнирн приводн соединен 6 7 научнотехническ вестник государствен 2019 1 nauchnotekhnichesk vestnik bryansk gosudarstven universitet 2019,0
22281 24139920201905010925 14 крут момент крм создава лопаст 32 передава втулк 31 шпонк 30 ротор 28 поворачива прот часов стрелк,0
дал помощ шлицев соединен конец ротор 28 хомут 39 хомут крут момент крм передава рукоя 5 обеспечива поворот вертикальн плоскост прот часов стрелк образ обеспечива подъест грузозахватн орга 6 полезн груз 10,0
максимальн угол поворот рукоя 5 определя наибольш возможн угол поворот лопаст 32 соседн перегородк 21,0
оп проектирован поворотн гидродвигател силов гидропривод различн машин показыва 5 85,0
подключен опускн трубопровод 27 напорн гидролин силов гидропривод кранаманипулятор рабоч жидкост высок давлен 1p поступа камер 321 vvv,0
одновремен эт подъемн трубопровод 27 подключа сливн гидролин силов гидропривод кранаманипулятор наход камер 321 uu рабоч жидкост низк давлен 2p удаля,0
физическ процесс протека аналогичн описа выш однак сил разниц давлен 321 rrr крут момент крм направ противоположн сторон,0
результат рукоя 5 соверша поворот вертикальн плоскост часов стрелк обеспечива опускан грузозахватн орга 6 полезн груз 10,0
увеличен количеств пар перегородк 21 лопаст 32 привод след результат 1 величин крут момент крм передава рукоя увеличива следовательн увеличива вес перемеща полезн груз номинальн грузоподъемн кранаманипулятор 2 уменьша максимальн возможн угол поворот рукоя вертикальн плоскост следовательн снижа рабоч зон предел котор рукоя имет возможн манипулирова полезн груз,0
поэт предлож конструкц имет вариант конструктивн исполнен отлича количеств пар перегородк лопаст четыр пят пар,0
количеств пар перегородк лопаст маленьк величин передава крут момент крм оказыва недостаточн создан кранаманипулятор удовлетворительн номинальн грузоподъемн,0
количеств пар пят величин угол поворот рукоя вертикальн плоскост оказыва неудовлетворительн мал 50 550 точк зрен возможн эффективн манипулирован полезн груз пространств рабоч зон кранаманипулятор,0
цел автоматизац оптимизацион расчет проектирован приводн соединен шарнирносочленен поворотн звен гидравлическ крановманипулятор многоцелев мобильн транспортнотехнологическ машин комплекс разработа защит свидетельств государствен регистрац программ эвм оптимизац приводн соединен звен гидравлическ крановманипулятор 8,0
помощ программ 8 выполня оценк оптимальн сочетан основн конструктивн размер цилиндрическ шарнирн соединен тип шиберн поворотн гидродвигател обеспечива минимизац показател качеств приводн соединен звен масс учет систем конструкторск прочностн ограничен,0
структурн схем программ оптимизац приводн соединен звен гидравлическ крановманипулятор 8 включа головн процедур optimization driv joint cran manipulator 6 процедур тип procedur beginpointoptimization формирован начальн точк оптимизац celfun расчет целев функц приводн шарнирн соединен научнотехническ вестник государствен 2019 1 nauchnotekhnichesk vestnik bryansk gosudarstven universitet 2019,0
22281 24139920201905010925 15 detmodulg определен модул шлицев соединен выходн вал detz вычислен неуправля параметр приводн шарнирн соединен ogra проверк систем ограничен приводн шарнирн соединен optimizator оптимизац приводн шарнирн соединен,0
программ написа алгоритмическ язык pasca предназнач использован персональн компьютер оснаст операцион систем тип windows xp 7 8 10,0
алгоритмическ обеспечен указа программ базирова оптимизацион математическ модел теоретическ разработк представ 6 7,0
работ оптимизацион математическ модел приводн шарнирн соединен позволя минимизирова масс выполнен комплекс необходим конструкторск монтажн режимн прочностн ограничен,0
провест исследован влиян основн техническ характеристик величин эксплуатацион нагрузк оптимальн масс оптимальн конструктивн размер приводн шарнирн соединен,0
показа 6 7 обеспечен равн грузовысотн характеристик мобильн кранаманипулятор приводн шарнирн соединен позволя исключ ряд эксплуатацион недостаток традицион шарнирн соединен развит течен врем дополнительн динамическ нагружен металлоконструкц вследств увеличен зазор соединен снижен обь рабоч зон кран изз налич выносн силов гидродвигател появлен отказ вследств усталостн разрушен элемент узел креплен силов гидродвигател звен манипуляцион систем,0
возможн перевод гидросистем меньш уровен рабоч давлен привод повышен энергоэффективн кранаманипулятор коэффициент полезн действ гидропривод цел такж снижен эксплуатацион затрат обслуживан,0
моделирован рабоч процесс дроссельнорегулирова гидропривод манипуляцион систем мобильн машин цел моделирован нестационарн гидродинамическ процесс протека гидропривод манипуляцион систем мобильн транспортнотехнологическ машин ход эксплуатац поворотн движен прям обратн отдельн звен шарнирносочленен несущ металлоконструкц разработа защит свидетельств государствен регистрац программ эвм моделирован дроссельнорегулирут гидропривод манипуляцион систем мобильн машин раздельн движен звен 9 моделирован дроссельнорегулирут гидропривод манипуляцион систем мобильн машин совместн движен звен 10,0
программ написа алгоритмическ язык pasca предназнач использован персональн компьютер оснаст операцион систем тип windows xp 7 8 10,0
программ 9 позволя моделирова изменен врем основн техническ характеристик гидропривод давлен расход рабоч жидкост характерн точк длин гидросистем перепад давлен поршен гидроцилиндр мгновен мощност гидропривод такж кинематическ параметр движен звен угол поворот углов скорост углов ускорен раздельн поворотн движен отдельн звен тип конструктивн исполнен налич вспомогательн рычаг,0
конструктивн исполнен указа звен привест 11,0
предусмотрет 4 вариант расчет кажд котор соответствова 4 возможн вариант движен звен 1 вариант движен подъест прямолинейн звен научнотехническ вестник государствен 2019 1 nauchnotekhnichesk vestnik bryansk gosudarstven universitet 2019,0
22281 24139920201905010925 16 2 вариант движен опускан прямолинейн звен 3 вариант движен подъест звен рычаг 4 вариант движен опускан звен рычаг,0
структурн схем программ включа головн процедур dynamics hydraulic drives throttl regulation separat motion links 22 процедур тип procedur 2 процедур тип function 12,0
результат выполнен компьютерн программ явля расчет изменен врем отработк движен звен след дат 1 величин скорост ускорен перемещен шток силов гидроцилиндр 2 угол углов скорост углов ускорен поворот звен манипуляцион систем 3 давлен объемн расход рабоч жидкост характерн точк гидросистем 4 объемн расход рабоч жидкост напорн предохранительн клапа 5 перепад давлен рабоч жидкост гидроцилиндр 6 перепад давлен входн выходн регулирова дроссел 7 мгновен мощност приводн электродвигател насос,0
алгоритмическ обеспечен компьютерн программ моделирован дроссельнорегулирут гидропривод манипуляцион систем мобильн машин раздельн движен звен 9 базирова функциональноструктурн схем математическ модел гидродинамическ процесс дроссельнорегулирова гидропривод представ 12,0
компьютерн программ моделирован дроссельнорегулирут гидропривод манипуляцион систем мобильн машин совместн движен звен 9 позволя моделирова нестационарн гидродинамическ процесс гидропривод манипуляцион систем мобильн транспортнотехнологическ машин ход эксплуатац совместн поворотн движен прям обратн звен шарнирносочленен несущ металлоконструкц учет одновремен нача движен звен опережа нача движен звен,0
структурн схем программ включа головн процедур dynamics hydraulic drives throttl regulation conjoint motion links 24 процедур тип procedur 3 процедур тип function 13,0
результат выполнен компьютерн программ явля расчет изменен врем отработк движен звен дат аналогичн программ 9,0
алгоритмическ обеспечен компьютерн программ моделирован дроссельнорегулирут гидропривод манипуляцион систем мобильн машин совместн движен звен 10 базирова функциональноструктурн схем математическ модел гидродинамическ процесс дроссельнорегулирова гидропривод представ 11,0
объект промышлен собствен област конвейер подвесн грузонесущ лент распределен привод конвейер подвесн грузонесущ лент относительн нов вид конвейерн транспорт альтернативн традицион ленточн конвейер 14,1
облада ряд заметн преимуществ последн конвейер подвесн лент настоя врем продолжа совершенствова частност направлен использован распределен многоприводн мехатрон механизм перемещен лент транспортирова груз 15,1
конвейер подвесн лент распределен привод конструкц конвейер подвесн лент распределен привод защит патент полезн модел 16,1
дан объект промышлен собствен научнотехническ вестник государствен 2019 1 nauchnotekhnichesk vestnik bryansk gosudarstven universitet 2019,1
22281 24139920201905010925 17 сти относ област машин непрерывн транспорт имен ленточн конвейер,1
конструкц позволя повыс безопасн эксплуатац конвейер подвесн лент уменьш массогабаритн параметр ключев узел приводн неприводн подвеск конвейер подвесн лент распределен привод,1
применен гибк стальн канат цеп последовательн соединя подвеск позволя минимизирова напряжен лент такж исключ самопроизвольн движен обратн направлен грузонесущ лент подвеск обр способствова увеличен ресурс лент повышен надежн безопасн конвейер,1
кром компактн размер сниз масс позволя сократ величин напряжен гибк стальн канат цеп конвейерн лент возника действ сил инерц подвеск имет особен высок значен движен подвеск криволинейн участок трасс больш количеств неприводн подвеск случа мощност привод приводн подвеск следовательн массогабаритн параметр увеличива нелинейн,1
существен недостаток известн конструкц конвейер подвесн лент явля налич двига вдол трасс открыт механизм перемеща направля качен многороликов подвеск оснаст электрооборудован напряжен котор представля опасн здоров рабоч обслужива персона,1
кром обеспечен качествен сцеплен приводн ролик приводн подвеск направля качен требова повышен усил прижимн устройств увеличен диаметр колес совокупн массогабаритн параметр моторредуктор привод увеличен габар ве подвеск,0
крупн размер масс приводн подвеск вследств возрастан сил инерц пуск торможен такж движен криволинейн участок привод увеличен нагружен элемент лент конвейер,1
такж конвейер отсутствова устройств удержива грузонесущ конвейерн лент подвеск самопроизвольн движен обратн направлен обр,1
внешн вид конвейер подвесн лент распределен привод выполн соответств предлож 16 конструкц привест,1
6 показа расположен приводн подвеск внутр направля пут,0
конвейер подвесн лент распределен привод содержим стат закреп нем направля пут 1 токоведущ троллейн шинопровод 2 многороликов приводн 3 неприводн 4 подвеск последовательн соедин себ гибк стальн канат цеп 5 перемеща внутр направля пут 1 увлека себ бесконечн замкнут конвейерн лент 6 удержива подвес направля пут 1 положен такж стационарн поддержива опор установлен мест трасс котор конвейерн лент 6 выполож,1
направля пут позволя реализовыва трасс неограничен длин произвольн пространствен конфигурац прямолинейн наклон поворотн желобообразут выполажива участок выполн составн одинаков направля качен 7,0
качеств моч использова например равнополочн уголок комбинирова конструкц сконфигурирова люб друг профил сортов фасон прокат,0
ве длин трасс конвейер направля пут имет собразн обшивк 8 диэлектрическ материа выполн сплошн сторон поперечн сечен направля пут разомкнут гран ориентирова конвейерн лент 6,1
внутр направля пут стенк обшивк 8 ве длин трасс конвейер располож токоведущ троллейн шинопровод 2,1
направля качен 7 научнотехническ вестник государствен 2019 1 nauchnotekhnichesk vestnik bryansk gosudarstven universitet 2019,0
внешн вид конвейер подвесн лент распределен привод трехмерн вид местн вырез элемент 16 б трехмерн вид разрез направля пут мест движен приводн подвеск 1 направля пут 2 токоведущ троллейн шинопровод 3 приводн подвеск 4 неприводн подвеск 5 гибк стальн канат цеп 6 конвейерн лент 7 направля качен 8 обшивк 9 побразн кронштейн 10 прямоугольн люк 11 моторколес 12 траверс 13 прижимн механизм 14 цилиндрическ направля 15 рам 16 пружин сжат 17 регулировочн гайк 18 холост ролик 19 блок токосъемник 20 кронштейн 21 узел креплен лент 22 креплен 23 рам 24 креплен,1
расположен приводн подвеск внутр направля пут обшивк 8 различн участок трасс имет прямоугольн люк 10 размер больш равн габаритн размер подвеск,0
располага гран направля пут сплошн обшивк 8 токоведущ троллейн шинопровод 2,0
гибк стальн канат цеп 5 ограничива какимилиб определен типоразмер,0
моч имет длин достаточн присоединен соседн последовательн располож направля пут подвеск,0
конец гибк стальн канат цеп 5 моч имет люб известн креплен например болтов заж заплетк опрессовк клинов заж,0
7 имет прямоугольн пространствен конфигурац использова качеств приводн механизм моторколес 11 располож снаруж приводн подвеск вдол сторон ориентирова направлен конвейерн лент 6,1
выходн моторколес жестк закреп траверс 12 прижимн механизм 13 котор имет возможн вертикальн перемещен цилиндрическ направля 14 огранич углов линейн перемещен использован люб способ крепеж,0
рам 15 приводн подвеск центральн сво част выполн вид объемн жестк каркас позволя размест прижимн механизм 13 моторколес 11 противоположн кра имет окончан прямоугольн поперечн сечен,0
сторон симметричн относительн вертикальн провест центр приводн подвеск располож кронштейн консольнозакреплен расстоян необходим контакт научнотехническ вестник государствен 2019 1 nauchnotekhnichesk vestnik bryansk gosudarstven universitet 2019,0
22281 24139920201905010925 19 полк направля качен 7 холост ролик 18 бочкообразн цилиндрическ форм поверхн качен низк фрикцион материа,0
кром сторон рам 15 приводн подвеск соответств сторон направля пут 1 содержим токоведущ троллейн шинопровод 2 установлен блок токосъемник 19,0
кронштейн 20 узел креплен лент 21 вынест проест обшивк 8 перпендикулярн рам 15 приводн подвеск сторон моторколес 11 расстоян достаточн креплен лент 6 снаруж направля пут,1
торцев сторон приводн подвеск 3 имет креплен 22 например проушин прижимн планк рымболт предназнач присоединен стальн канат цеп 5 направлен движен подвеск направля пут,0
конструкц приводн подвеск вид сторон моторколес б вид обратн сторон неприводн подвеск 4 имет рам 23 балочн конструкц окончан прямоугольн поперечн сечен,0
сторон симметричн относительн вертикальн провест центр неприводн подвеск 4 располож кронштейн консольнозакреплен холост ролик 18 бочкообразн цилиндрическ форм поверхн качен низк фрикцион материа,0
кронштейн 20 узел креплен лент 21 вынест проест обшивк 8 перпендикулярн рам 23 неприводн подвеск 4 расстоян достаточн креплен лент 6 снаруж направля пут,1
торцев сторон рам 23 неприводн подвеск моч имет креплен 24 например проушин прижимн планк рымболт предназнач присоединен стальн канат цеп 5 небольш длин соединя соседн направлен движен подвеск направля пут,0
конвейер подвесн лент распределен привод работа след образ,1
приводн 3 неприводн 4 подвеск размест постоя шаг внутр параллельн установлен симметричн направля пут вдол трасс конвейер неограничен длин произвольн пространствен конфигурац посредств узел креплен 21 удержива конвейерн лент 6 транспортирова материа пролет направля пут 1 подвес положен,1
нагрузк передава сторон грузонесущ конвейерн лент узел креплен 21 рам 15 23 подвеск действова консольноустановлен холост ролик 18 приводн неприводн подвеск,1
контактирова разн плоскост полк направля качен 7 образ ограничива возможн поперечн вращен подвеск внутр направля пут,0
электрическ ток подава троллейн шинопровод 2 располож внутрен стенк диэлектрическ обшивк 8 котор обеспечива защит эксплуатацион обслужива персона токоведущ двига элемент конвейер протека нем вдол трасс конвейер щетк блок токосъемник 19 приводн подвеск сним научнотехническ вестник государствен 2019 1 nauchnotekhnichesk vestnik bryansk gosudarstven universitet 2019,1
22281 24139920201905010925 20 ться передава моторколес 11,0
враща моторколес вызыва поступательн движен приводн подвеск вдол направля пут,0
неизмен продольн направлен движен моторколес 11 обеспечива счет жестк фиксац выходн траверс 12 прижимн механизм 13,0
пружин сжат 16 размест поверх цилиндрическ направля 14 посад резьб пол цилиндрическ направля 14 обеспечива надежн прижат моторколес направля качен,0
эт исключа проскальзыван движен вдол направля пут ве протяжен трасс,0
образ двига направля качен 7 приводн подвеск 3 посредств стальн канат цеп 5 сообща движен неприводн подвеск,0
узел креплен лент 21 приводн неприводн подвеск увлека себ конвейерн лент располож транспортирова груз,1
перемеща вдол трасс конвейерн лент 6 счет различн расстоян направля пут изменя форм поперечн сечен,1
загрузочн участок конц поворотн холост ветв счет больш расстоян направля пут конвейерн лент выполад грузонесущ ветв ввид меньш пролет направля пут конвейерн лент 6 имет желобчат форм поперечн сечен,1
переход состоян друг осуществля движен подвеск переходн выполажива желобообразова участок трасс конвейер,1
кром установлен загрузочн поворотн желобообразова выполажива участок стационарн роликов опор гладк наст такж размест конц поворотн участок бараба каток стационарн роликов опор гладк наст поддержива грузонесущ лент значительн снижа напряжен величин усил действ подвеск сторон узел креплен лент 21,1
моделирован динамик конвейер подвесн лент распределен привод различн причин отказ приводн неприводн подвеск цел автоматизац моделирован кинематик динамик нестационарн рабоч процесс происход врем эксплуатац ленточн конвейер подвесн грузонесущ лент распределен электропривод различн потенциальн возможн аварийн реж работ конвейер разработа защит свидетельств государствен регистрац след программ эвм моделирован динамик конвейер подвесн лент распределен привод отказ электропитан 17 моделирован динамик конвейер подвесн лент распределен привод заклиниван приводн ролик 18 моделирован динамик конвейер подвесн лент распределен привод заклиниван холост ролик 19,1
программ предназнач использован персональн компьютер оснаст операцион систем тип windows xp 7 8 10,0
помощ указа программ 1719 выполня расчет связа определен величин скорост перемещен приводн неприводн грузонесущ подвеск вдол трасс конвейер подвесн лент,1
